`CASE IDENTIFICATION NUMBER',telephne,city,county,ethcode,centract,HIGH PERCENTAGE BLACK TRACT,SAMPLING FRAME,`PARTICIPATE IN 1984 ELECTION',REGISTRATION STATUS IN 1984,PARTY REGISTRATION STATUS OF INDIVI,`CONTRIBUTE $$ TO POLITICAL UNIT IN 84',`EXHIBIT STICKER OR POSTER IN 84',`POLI WORK ON CAMPAIGN 84',`ATTENDED POLITICAL RALLY 84',MICHIGAN PARTYID,`CMCATE OPINION TO ELECTED OFFICIALS',`CMCATE OPINION TO NEWSMEDIA',`WORKED WITH GROUP AGAINST PROBLEM',COMMUNITY ORGANIZATION PROBLEM,TYPE OF COMM. ORG. PROBLEM,RELIGIOUS AFFILIATION,EVANGELICAL PROTESTANTS,PROTESTANT DENOMINATION,`LEVEL OF EDUCATION COMPLETED',`MARITAL STATUS',`HAVE CHILDREN',`NUMBER OF CHILDREN',`NUMBER OF CHILDREN IN SCHOOL',`WILL CHILDREN GO TO COLLEGE',`MOST IMP SOURCE OF INCOME',`IMP INCOME-EARNER''S RELSHIP TO RESP',`RESPONDENT''S EMPLOYMENT STATUS IN 84',`RESPONDENT''S OCCUPATION',`RESPONDENT UNEMPLOYED IN 84',`RESPONDENT''S UNION MEMBERSHIP',`RELATIVE''S EMPLOYMENT STATUS IN 84',`RELATIVE''S OCCUPATION',`RELATIVE UNEMPLOYED IN 84',`RELATIVE''S UNION MEMBERSHIP',HEAD OF HOUSEHOLD EMPLOYMENT STATUS,HEAD OF HOUSEHOLD OCCUPATION,HEAD OF HOUSEHOLD UNEMPLOYED IN 84,HEAD OF HOUSEHOLD'S UNION MEMBERSHIP,`RACIAL GROUP -- RGROUP1',natnlity,ETHNIC IDENTIFICATION,ASIAN-AMERICAN GROUPS,HISPANIC GROUP ID,`BIGGEST PROBLEM OF USA',`SPECIAL PROBLEMS OF RGROUP1',`BIGGEST PROBLEM OF RGROUP1',`GOVT REQD TO SOLVE PROBLEM OF RGRP1',`GOVT LEVEL TO SOLVE PROBLEM OF RGRP1',`IF OTHER GRP TO SOLVE PROBLEM OF RGRP1',`ANY OTHER GROUP OF ID OR RGROUP2',`OTHER GROUP OF ID OR RGROUP2',`BIGGEST PROBLEM OF RGROUP2',`GOVT REQD TO SOLVE PROBLEM OF RGRP2',`GOVT LEVEL TO SOLVE PROBLEM OF RGRP2',`IF OTHR GRP TO SOLVE PROBLEM OF RGRP2',`GROUPS WITH FEWER OPPORTUNITIES',`GROUP WITH FEWER OPPORTUNITIES',`OTHER GROUP WITH FEWER OPPORTUNITIES',`OTHER GROUP WITH FEWER OPPORTUNITIES' 2,`OTHER GROUP WITH FEWER OPPORTUNITIES' 3,`GROUPS WITH MORE OPPORTUNITIES',`GROUP WITH MORE OPPORTUNITIES',`OTHER GROUP WITH MORE OPPORTUNITIES',`GROUPS WITH MORE OPPORTUNITIES' 2,`GROUPS WITH MORE OPPORTUNITIES' 3,`AMERICANS PREJUDICED TO RGROUP1',`PARTICULAR GROUP PREJUDICED TO RGROUP1',`PERSONAL EXPERIENCE OF DISCRIMINATION',`SITUATION OF DISCRIMINATION',`FUTURE AMOUNT OF PREJUDICE',`INCREASED MILITARY SPENDING',`EQUAL RIGHTS AMENDMENT',`TAX CREDIT FOR PAROCHIAL-PVT SCHOOL',`PRAYER IN PUBLIC SCHOOL',`INCREASED SPENDING ON WELFARE',`BAN FED SPENDING ON ABORTIONS',`BAN HANDGUNS',`DEATH PENALTY FOR MURDER',`AMNESTY FOR ILLEGAL IMMIGRATION',`USE OF EMPLOYER SANCTIONS',`BILINGUAL EDUCATION PROGRAMS',`BILINGUAL BALLOTS',`VIEWS ON ABORTION',`RESPONDENT''S COUNTRY OF BIRTH',`IF PARENTS BORN IN US',`COUNTRY OF FATHER''S BIRTH',`COUNTRY OF MOTHER''S BIRTH',`SOCIAL LINKS WITH COUNTRY OF ORIGIN',`MONEY SENT HOME TO CTRY OF ORIGIN',`INTENTION TO SETTLE IN US',yentry,`IF US CITIZEN YET',`STATE IN US WHERE RESPONDENT WAS BORN',`GENERATION ENTERING CALIFORNIA',`SOCIAL LINKS WITH STATE:ORIGIN IN US',`PRIMARY NON-ENGLISH LANGUAGE',`USED BALLOT OF OTHER LANGUAGE IN 1984',yyrborn,`HOME OWNER OR RENTER',`INCOME LEVEL',`PRESIDENTIAL VOTE CHOICE 84',`IMPORTANCE OF VOTING',`SEX OF RESPONDENT',`CO-OPERATION OF RESPONDENT',`INFORMATION LEVEL OF RESPONDENT',`SINCERITY OF RESPONDENT',IMMIGRANT GENERATION,NON-ENG PRIMARY LANG OR SPAN INTERVIEW,`SPANISH LANGUAGE INTERVIEWS',`PRIMARY LANG: NON-ENGLISH OR SPANISH'
170,213678,68,37,N,600901,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,DEMOCRAT,YES,NO,NO,NO,STRONG REPUBLICAN,SELDOM,NEVER,NO,0,INAP,PROTESTANT,NOT EVANGELICAL,PROT. IN GNERAL,SOME COLLEGE,DIVORCED,YES,3 CHILDREN,NO CHILDREN,INAP,RESPONDENT,INAP,WORKING,SERVICE WORKER,NO,UNION,INAP,INAP,INAP,INAP,WORKING,SERVICE WORKER,NO,UNION,BLACK,BLACK,BLACK,INAP,NON-HISPANIC,"DRUGS, ALCOHOLISM",DK/NA,INAP,INAP,INAP,INAP,DK/NA,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,SOME ARE,NO PARTICULAR GRP,NO,INAP,LESS PREJUDICED,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,ONLY IF RAPE/INCEST,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,TX,INAP,YES,INAP,INAP,31,OWN,"$20,000-25,000",MONDALE,IMPORTANT,MALE,VERY GOOD,FAIRLY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
171,209948,86,77,N,24,0,OTHER,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,LEANING REPUBLICAN,NEVER,NEVER,NO,0,INAP,PROTESTANT,NOT EVANGELICAL,PROT. IN GNERAL,HIGH SCHOOL GRAD,SINGLE,NO,INAP,INAP,INAP,SOMEONE ELSE,MOTHER,INAP,INAP,INAP,INAP,OTHER,INAP,INAP,NO,OTHER,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,BLACK,BLACK,BLACK,INAP,NON-HISPANIC,UNEMPLOYMENT,YES,UNEMPLOYMENT,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,BLACKS,MEXI-AMS/HISPANICS,DK/NA,INAP,NO,INAP,INAP,INAP,INAP,SOME ARE,WHITES,YES,SOCIAL SITUATION,WON'T CHANGE MUCH,NO OPINION,FAVOR,FAVOR,NO OPINION,FAVOR,NO OPINION,FAVOR,FAVOR,NO OPINION,FAVOR,FAVOR,FAVOR,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,GRANDPARENTS,INAP,INAP,INAP,64,RENT/DO NOT OWN,"$10,000-15,000",INAP,IMPORTANT,MALE,GOOD,FAIRLY LOW,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
172,619275,80,73,N,9105,0,OTHER,YES,REGISTERED,REPUBLICAN,YES,YES,NO,NO,STRONG REPUBLICAN,SELDOM,NEVER,NO,0,INAP,PROTESTANT,NOT EVANGELICAL,PROT. IN GNERAL,SOME TRAINING/TRADE,MARRIED,NO,INAP,INAP,INAP,RESPONDENT,INAP,WORKING,CLERICAL,NO,NO,INAP,INAP,INAP,INAP,WORKING,CLERICAL,NO,NO,WHITE,CANADIAN,WHITE,INAP,NON-HISPANIC,INFLATION,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,OPPOSE,OPPOSE,OPPOSE,OPPOSE,OPPOSE,NO OPINION,OPPOSE,FAVOR,NO OPINION,NO OPINION,OPPOSE,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,NE,INAP,YES,INAP,INAP,51,OWN,"OVER $60,000",REAGAN,IMPORTANT,MALE,VERY GOOD,VERY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
173,213933,56,37,N,2167,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,DEMOCRAT,NO,NO,NO,YES,LEANING DEMOCRAT,NEVER,NEVER,YES,NUCLEAR WAR,WORLD/NATIONL ISSUES,CATHOLIC,NOT PROTESTANT,0,COMPLETED COLLEGE,SINGLE,NO,INAP,INAP,INAP,RESPONDENT,INAP,WORKING,SALES,YES,NO,INAP,INAP,INAP,INAP,WORKING,SALES,YES,NO,WHITE,IRISH,WHITE,INAP,NON-HISPANIC,LARGE GOVT DEFICIT,NO,INAP,INAP,INAP,INAP,YES,ALCHOHOLICS,EDUCATION,NO GOVT ACTION REQD,INAP,GROUP WORK TOGETHER,YES,DK/NA,MEXI-AMS/HISPANICS,DK/NA,INAP,YES,DK/NA,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,OPPOSE,FAVOR,OPPOSE,FAVOR,FAVOR,FAVOR,FAVOR,DK/NA,FAVOR,FAVOR,FAVOR,FAVOR,ONLY IF RAPE/INCEST,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,IA,INAP,YES,INAP,INAP,52,OWN,"$40,000-60,000",MONDALE,IMPORTANT,MALE,VERY GOOD,FAIRLY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
174,213595,66,37,H,402403,0,HISPANIC SURNAME,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,WEAK DEMOCRAT,SELDOM,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,SOME COLLEGE,SINGLE,NO,INAP,INAP,INAP,RESPONDENT,INAP,WORKING,OPERATIVES,NO,NO,INAP,INAP,INAP,INAP,WORKING,OPERATIVES,NO,NO,WHITE,IRISH,WHITE,INAP,NON-HISPANIC,LARGE GOVT DEFICIT,YES,ILLEGAL IMMIGRATION,GOVT ACTION REQD,FED GOVT,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,FAVOR,FAVOR,FAVOR,NO OPINION,FAVOR,FAVOR,FAVOR,FAVOR,OPPOSE,FAVOR,OPPOSE,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,PARENTS,INAP,INAP,INAP,61,OWN,"$10,000-15,000",REAGAN,IMPORTANT,FEMALE,VERY GOOD,VERY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
175,714591,11,71,N,4,0,OTHER,DK/NA,DK/NA,INAP,NO,NO,NO,NO,DK/NA,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,SINGLE,NO,INAP,INAP,INAP,SOMEONE ELSE,DAD/ FATHER,INAP,INAP,INAP,INAP,WORKING,SALES,NO,DK/NA,WORKING,SALES,NO,DK/NA,BLACK,BLACK,BLACK,INAP,NON-HISPANIC,THREAT/NUCLEAR WAR,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,SOME ARE,NO PARTICULAR GRP,YES,DK/NA,WON'T CHANGE MUCH,NO OPINION,DK/NA,NO OPINION,FAVOR,DK/NA,DK/NA,DK/NA,DK/NA,DK/NA,DK/NA,DK/NA,DK/NA,DK/NA,U.S.,DK/NA,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,DK/NA,INAP,INAP,INAP,100,DK/NA,DK/NA,INAP,DK/NA,MALE,VERY POOR,VERY LOW,PERHAPS INSINCERE,DK/NA,DK/NA,ENG LANG INTERVIEWS,DK/NA
176,415848,65,1,N,4239,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,REPUBLICAN,NO,NO,NO,NO,LEANING DEMOCRAT,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,WIDOWED,NO,INAP,INAP,INAP,RESPONDENT,INAP,RETIRED,INAP,INAP,UNION,INAP,INAP,INAP,INAP,RETIRED,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,UNION,WHITE,99,WHITE,INAP,NON-HISPANIC,ECO:GEN,DK/NA,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,YES,CONSERVATIVES,DK/NA,INAP,INAP,INAP,INAP,INAP,INAP,INAP,OPPOSE,FAVOR,OPPOSE,NO OPINION,FAVOR,NO OPINION,FAVOR,FAVOR,OPPOSE,OPPOSE,OPPOSE,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,NO,EUROPE/WHITE SETTLER,EUROPE/WHITE SETTLER,INAP,INAP,INAP,100,INAP,PA,INAP,NO,INAP,INAP,10,OWN,"LESS THAN $10,000",DK/NA,IMPORTANT,MALE,FAIR,AVERAGE,PERHAPS INSINCERE,NON-US BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
177,209268,52,19,N,9,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,WEAK DEMOCRAT,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,SINGLE,NO,INAP,INAP,INAP,SOMEONE ELSE,DAD/ FATHER,INAP,INAP,INAP,INAP,WORKING,LABORER,NO,NO,WORKING,LABORER,NO,NO,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,CRIME,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,YES,WHITES,DK/NA,INAP,INAP,SOME ARE,DK/NA,YES,ON THE JOB,LESS PREJUDICED,OPPOSE,FAVOR,FAVOR,FAVOR,FAVOR,OPPOSE,FAVOR,FAVOR,FAVOR,NO OPINION,FAVOR,FAVOR,SHD NEVER BE PERMTD,U.S.,NO,MEXICO,MEXICO,INAP,INAP,INAP,100,INAP,CA,PARENTS,INAP,SPANISH,NO,64,OWN,"LESS THAN $10,000",MONDALE,IMP IF INTEREST AFF,MALE,VERY GOOD,AVERAGE,COMPLETELY SINCERE,NON-US BORN PARENTS,YES,ENG LANG INTERVIEWS,YES
178,415792,49,1,H,4443,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,LEANING DEMOCRAT,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,MARRIED,YES,1 CHILD,1 CHILD,WILL GO,RESPONDENT,INAP,WORKING,CRAFTSMEN,NO,TEACHERS'ASSO,INAP,INAP,INAP,INAP,WORKING,CRAFTSMEN,NO,TEACHERS'ASSO,WHITE,HISPANIC,HISPANIC,INAP,NON-MEXICAN,DK/NA,DK/NA,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,NO OPINION,FAVOR,FAVOR,NO OPINION,NO OPINION,NO OPINION,FAVOR,FAVOR,FAVOR,OPPOSE,FAVOR,OPPOSE,SHD NEVER BE PERMTD,LATIN/C AMERICA,INAP,INAP,INAP,YES,NO,DK/NA,81,NOT CITIZEN,ZZ,INAP,DK/NA,SPANISH,INAP,47,RENT/DO NOT OWN,"$15,000-20,000",INAP,IMPORTANT,MALE,VERY GOOD,FAIRLY LOW,USUALLY SINCERE,NON-US BORN,YES,ENG LANG INTERVIEWS,YES
179,213532,68,37,J,6033,0,ASIAN SURNAME,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,STRONG DEMOCRAT,SELDOM,NEVER,NO,0,INAP,PROTESTANT,NOT EVANGELICAL,PRESBYTERIAN,HIGH SCHOOL GRAD,MARRIED,YES,4 CHILDREN,3 CHILDREN,WILL GO,SOMEONE ELSE,HUSBAND,INAP,INAP,INAP,INAP,WORKING,OPERATIVES,NO,UNION,WORKING,OPERATIVES,NO,UNION,ASIAN,JAPANESE,ASIAN-AMERICAN,JAPANESE,NON-HISPANIC,UNEMPLOYMENT,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,YES,WHITES,DK/NA,INAP,INAP,SOME ARE,NO PARTICULAR GRP,NO,INAP,LESS PREJUDICED,FAVOR,FAVOR,FAVOR,NO OPINION,FAVOR,FAVOR,NO OPINION,FAVOR,OPPOSE,FAVOR,OPPOSE,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,NO,JAPAN,JAPAN,INAP,INAP,INAP,100,INAP,HI,INAP,YES,INAP,INAP,34,OWN,DK/NA,MONDALE,IMPORTANT,FEMALE,GOOD,AVERAGE,COMPLETELY SINCERE,NON-US BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
180,213673,68,37,H,600901,HIGH PERCENTAGE BLACK,HISPANIC SURNAME,YES,REGISTERED,DEMOCRAT,YES,YES,NO,YES,WEAK DEMOCRAT,SELDOM,SELDOM,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,GRADUATE WORK,MARRIED,YES,3 CHILDREN,NO CHILDREN,INAP,RESPONDENT,INAP,WORKING,SERVICE WORKER,NO,NO,INAP,INAP,INAP,INAP,WORKING,SERVICE WORKER,NO,NO,WHITE,MEXICAN,HISPANIC,INAP,MEXICAN,WAR:C AMERICA,YES,EDUCATION,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,SOME ARE,NO PARTICULAR GRP,YES,IN SCHO0L/COLLEGE,LESS PREJUDICED,OPPOSE,FAVOR,FAVOR,OPPOSE,FAVOR,OPPOSE,OPPOSE,FAVOR,FAVOR,OPPOSE,FAVOR,FAVOR,ALWAYS ONE'S CHOICE,MEXICO,INAP,INAP,INAP,NO,NO,WILL STAY IN U.S.,60,CITIZEN,ZZ,INAP,DK/NA,SPANISH,NO,46,OWN,"$30,000-40,000",MONDALE,IMPORTANT,MALE,VERY GOOD,FAIRLY HIGH,COMPLETELY SINCERE,NON-US BORN,YES,ENG LANG INTERVIEWS,YES
181,213631,68,37,N,540102,0,OTHER,YES,REGISTERED,DEMOCRAT,NO,NO,NO,YES,STRONG DEMOCRAT,SELDOM,NEVER,YES,ROADS STREETS,"TRANSIT, TRAFFIC",CATHOLIC,NOT PROTESTANT,0,SOME COLLEGE,MARRIED,YES,2 CHILDREN,1 CHILD,WILL GO,SOMEONE ELSE,HUSBAND,INAP,INAP,INAP,INAP,WORKING,SALES,YES,NO,WORKING,SALES,YES,NO,BLACK,BLACK,BLACK,INAP,NON-HISPANIC,ECO:GEN,YES,RACE/ETH DISCRIMINA,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,YES,DK/NA,OTHER,NO GOVT ACTION REQD,INAP,INDIVIDUALS,YES,MEXI-AMS/HISPANICS,BLACKS,RETD PEOPLE:ELDERLY,DK/NA,YES,WHITES,DK/NA,INAP,INAP,SOME ARE,NO PARTICULAR GRP,YES,GETTING A JOB,WON'T CHANGE MUCH,OPPOSE,FAVOR,FAVOR,FAVOR,FAVOR,OPPOSE,FAVOR,FAVOR,FAVOR,OPPOSE,FAVOR,FAVOR,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,BEFORE THAT,INAP,INAP,INAP,50,RENT/DO NOT OWN,"$15,000-20,000",MONDALE,IMPORTANT,FEMALE,VERY GOOD,VERY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
182,213897,67,37,N,103202,HIGH PERCENTAGE BLACK,OTHER,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,INDEPENDENT,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,SOME COLLEGE,SINGLE,NO,INAP,INAP,INAP,RESPONDENT,INAP,WORKING,PROF/TECHNICAL,NO,NO,INAP,INAP,INAP,INAP,WORKING,PROF/TECHNICAL,NO,NO,OTHER,HISPANIC,HISPANIC,INAP,UNSPECIFIED HISPANIC,ILLEGAL IMMIGRATION,YES,UNEMPLOYMENT,NO GOVT ACTION REQD,INAP,GROUP WORK TOGETHER,YES,AMERICAN INDIANS,EDUCATION,NO GOVT ACTION REQD,INAP,GROUP WORK TOGETHER,NO,INAP,INAP,INAP,INAP,YES,WHITES,BLACKS,DK/NA,INAP,INAP,INAP,INAP,INAP,INAP,FAVOR,FAVOR,OPPOSE,FAVOR,OPPOSE,OPPOSE,OPPOSE,FAVOR,FAVOR,OPPOSE,FAVOR,FAVOR,ONLY IF RAPE/INCEST,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,NM,INAP,YES,SPANISH,INAP,54,RENT/DO NOT OWN,"LESS THAN $10,000",INAP,NOT IMPORTANT,MALE,VERY GOOD,VERY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,YES,ENG LANG INTERVIEWS,YES
183,213380,56,37,H,2097,0,HISPANIC SURNAME,NO,REGISTERED,REPUBLICAN,NO,NO,NO,YES,WEAK REPUBLICAN,NEVER,SELDOM,NO,0,INAP,NONE,NOT PROTESTANT,0,HIGH SCHOOL GRAD,MARRIED,YES,2 CHILDREN,1 CHILD,SOME WILL/SOME WON'T,RESPONDENT,INAP,OTHER,INAP,INAP,UNION,INAP,INAP,INAP,INAP,OTHER,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,UNION,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,CRIME,YES,OTHER,DK/NA,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,DK/NA,INAP,INAP,INAP,INAP,SOME ARE,OTHER,YES,GETTING A JOB,LESS PREJUDICED,OPPOSE,NO OPINION,NO OPINION,OPPOSE,FAVOR,OPPOSE,FAVOR,NO OPINION,FAVOR,NO OPINION,OPPOSE,OPPOSE,ONLY IF RAPE/INCEST,U.S.,NO,U.S.,MEXICO,INAP,INAP,INAP,100,INAP,CA,PARENTS,INAP,SPANISH,INAP,49,RENT/DO NOT OWN,"$15,000-20,000",INAP,DK/NA,MALE,VERY GOOD,AVERAGE,COMPLETELY SINCERE,NON-US BORN PARENTS,YES,ENG LANG INTERVIEWS,YES
184,213731,56,37,N,2222,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,WEAK DEMOCRAT,NEVER,NEVER,NO,0,INAP,PROTESTANT,EVANGELICAL,BAPTIST,HIGH SCHOOL GRAD,DIVORCED,NO,INAP,INAP,INAP,RESPONDENT,INAP,WORKING,SERVICE WORKER,NO,NO,INAP,INAP,INAP,INAP,WORKING,SERVICE WORKER,NO,NO,BLACK,BLACK,BLACK,INAP,NON-HISPANIC,THREAT/NUCLEAR WAR,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,MAYBE/DEPENDS,WHITES,DK/NA,INAP,INAP,NO,INAP,INAP,INAP,INAP,MOST ARE NOT,INAP,NO,INAP,LESS PREJUDICED,FAVOR,FAVOR,OPPOSE,OPPOSE,OPPOSE,OPPOSE,OPPOSE,FAVOR,OPPOSE,OPPOSE,OPPOSE,OPPOSE,ONLY IF RAPE/INCEST,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,WV,INAP,YES,INAP,INAP,25,OWN,"$10,000-15,000",MONDALE,IMP IF INTEREST AFF,MALE,VERY POOR,VERY LOW,PERHAPS INSINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
185,415887,49,1,H,4375,0,HISPANIC SURNAME,NO,REGISTERED,DEMOCRAT,NO,NO,NO,NO,STRONG REPUBLICAN,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,SOME COLLEGE,MARRIED,YES,1 CHILD,NO CHILDREN,INAP,SOMEONE ELSE,HUSBAND,INAP,INAP,INAP,INAP,OTHER,INAP,INAP,UNION,OTHER,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,UNION,WHITE,PORTUGUESE,WHITE,INAP,NON-HISPANIC,CRIME,NO,INAP,INAP,INAP,INAP,YES,DK/NA,DK/NA,DK/NA,INAP,INAP,YES,NO PARTICULAR GRP,DK/NA,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,OPPOSE,FAVOR,FAVOR,FAVOR,FAVOR,NO OPINION,OPPOSE,FAVOR,OPPOSE,FAVOR,OPPOSE,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,PARENTS,INAP,INAP,INAP,61,RENT/DO NOT OWN,"LESS THAN $10,000",INAP,IMPORTANT,FEMALE,VERY GOOD,AVERAGE,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
186,213896,67,37,N,103202,HIGH PERCENTAGE BLACK,OTHER,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,STRONG REPUBLICAN,NEVER,NEVER,NO,0,INAP,PROTESTANT,NOT EVANGELICAL,EPISCOPALIAN,SOME COLLEGE,MARRIED,YES,2 CHILDREN,NO CHILDREN,INAP,SOMEONE ELSE,HUSBAND,INAP,INAP,INAP,INAP,WORKING,PROF/TECHNICAL,NO,UNION,WORKING,PROF/TECHNICAL,NO,UNION,WHITE,ENGLISH,WHITE,INAP,NON-HISPANIC,TOO MUCH WELFARE,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,OPPOSE,FAVOR,FAVOR,FAVOR,OPPOSE,OPPOSE,OPPOSE,FAVOR,OPPOSE,FAVOR,OPPOSE,OPPOSE,ALWAYS ONE'S CHOICE,DK/NA,INAP,INAP,INAP,YES,NO,DK/NA,66,NOT CITIZEN,ZZ,INAP,DK/NA,INAP,INAP,32,OWN,"$40,000-60,000",INAP,IMPORTANT,FEMALE,VERY GOOD,FAIRLY HIGH,COMPLETELY SINCERE,DK/NA,NO,ENG LANG INTERVIEWS,NO
